Date,Total,Curated,Deaths
24.2.2020,0,0,0
25.2.2020,1,0,0
26.2.2020,3,0,0
27.2.2020,6,0,0
28.2.2020,10,0,0
29.2.2020,14,0,0
1.3.2020,15,0,0
2.3.2020,19,0,0
3.3.2020,26,0,0
4.3.2020,50,0,0
5.3.2020,73,0,0
6.3.2020,96,0,0
7.3.2020,170,0,0
8.3.2020,182,0,0
9.3.2020,204,0,0
10.3.2020,277,2,0
11.3.2020,335,2,0
12.3.2020,454,2,1
13.3.2020,569,2,3
14.3.2020,827,2,3
15.3.2020,977,2,3
16.3.2020,1105,7,3
17.3.2020,1641,7,6
18.3.2020,2184,8,8
19.3.2020,2748,8,11
20.3.2020,3665,14,17
21.3.2020,3818,19,23
22.3.2020,4300,29,23
23.3.2020,5333,130,31
24.3.2020,6043,168,37
25.3.2020,7252,186,56
26.3.2020,8441,285,76
27.3.2020,9729,366,101
28.3.2020,10818,552,118
29.3.2020,11536,639,128
30.3.2020,12257,1058,163
31.3.2020,13313,1368,196
1.4.2020,14580,1754,239
2.4.2020,15971,2363,281
