Date,Total,Curated,Deaths
27.1.2020,2927,61,82
28.1.2020,5578,107,131
29.1.2020,6165,126,133
30.1.2020,8232,141,171
31.1.2020,9925,220,213
1.2.2020,12031,282,259
2.2.2020,16780,470,362
3.2.2020,19874,621,426
4.2.2020,23884,850,492
5.2.2020,27628,1122,564
6.2.2020,30810,1485,634
7.2.2020,34383,2009,719
8.2.2020,37112,2614,806
9.2.2020,40141,3242,906
10.2.2020,42753,3944,1013
11.2.2020,44793,4681,1113
12.2.2020,45212,5148,1118
13.2.2020,60360,6287,1371
14.2.2020,66877,8050,1523
15.2.2020,69022,9387,1666
16.2.2020,71216,10857,1770
17.2.2020,73250,12579,1868
18.2.2020,75128,14342,2007
19.2.2020,75631,16109,2122
20.2.2020,76189,18165,2247
21.2.2020,76833,18879,2251
22.2.2020,78589,22872,2458
23.2.2020,78970,23380,2469
24.2.2020,79607,25216,2629
25.2.2020,80453,27895,2708
26.2.2020,81440,30373,2770
27.2.2020,82799,33266,2814
28.2.2020,84175,36700,2872
29.2.2020,86049,39771,2941
1.3.2020,88404,42705,2995
2.3.2020,90340,45591,3084
3.3.2020,92866,48218,3159
4.3.2020,95133,51160,3252
5.3.2020,97895,53776,3346
6.3.2020,101805,55845,3458
7.3.2020,105800,58338,3556
8.3.2020,109765,60674,3799
9.3.2020,113515,62491,3992
10.3.2020,118625,64385,4259
11.3.2020,125826,66984,4612
12.3.2020,128913,68305,4720
13.3.2020,142268,70201,5376
14.3.2020,155830,72603,5816
15.3.2020,166992,75995,6438
16.3.2020,181128,78067,7123
17.3.2020,196826,80823,7901
18.3.2020,214375,83292,8727
19.3.2020,242065,84940,9860
20.3.2020,271407,88068,11294
21.3.2020,303638,91658,12966
22.3.2020,334674,97796,14625
23.3.2020,373801,100597,16363
24.3.2020,415687,107489,18605
25.3.2020,456486,113690,21035
26.3.2020,528366,122140,23951
27.3.2020,589970,131189,26977
28.3.2020,655940,139304,30440
29.3.2020,702097,148904,33483
30.3.2020,775306,164435,37083
31.3.2020,850583,176716,41674
1.4.2020,926095,193506,46413
2.4.2020,1007977,210055,52771
3.4.2020,1088876,225844,58382
4.4.2020,1192025,245725,64316
5.4.2020,1263967,257153,69082
6.4.2020,1331028,283232,73917
7.4.2020,1413415,300595,81200
8.4.2020,1500830,325430,87706
9.4.2020,1582904,353051,94807
10.4.2020,1647771,376576,102026
11.4.2020,1729166,402113,108167
12.4.2020,1802905,421332,113672
13.4.2020,1872704,445485,118854
14.4.2020,1935285,470827,125476
15.4.2020,2023684,509311,133354
16.4.2020,2101650,540565,142735
17.4.2020,2187718,576271,153177
18.4.2020,2274424,590682,158691
19.4.2020,2354003,611880,164938
20.4.2020,2428115,645099,169794
21.4.2020,2503912,679748,175922
22.4.2020,2579766,709050,182569
23.4.2020,2647169,732647,187330
24.4.2020,2755380,781382,195920
25.4.2020,2851886,813938,202270
26.4.2020,2928826,862859,206055
27.4.2020,2998551,891548,210551
28.4.2020,3072473,925097,216808
29.4.2020,3148756,970673,226771
30.4.2020,3236180,1011110,232807
1.5.2020,3298837,1050768,237943
2.5.2020,3374084,1084795,242493
3.5.2020,3462594,1120850,246902
4.5.2020,3537841,1159948,250720
5.5.2020,3615042,1195251,256272
